#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Entrez le mot de passe correct ci-dessus, puis saisissez les caractères indiqués par l'image ci-dessous.
#From:regenerate,Regenerate
regenerate,Générer à nouveau
#From:at.lowpriority,(1..255)
at.lowpriority,(1-255)
#From:YM49,A name is required for rule number
YM49,Nom requis pour le numéro de règle
#From:GW_INET_ACCESS_POLICY_TOO_MANY_IP_INVALID,You cannot add new IP address %v. You can only reuse IP addresses from other policies.
GW_INET_ACCESS_POLICY_TOO_MANY_IP_INVALID,Vous ne pouvez pas ajouter une nouvelle adresse IP %v. Vous pouvez uniquement réutiliser les adresses IP des autres règles.
#From:YM112,Invalid L2TP server IP address
YM112,Adresse IP du serveur L2TP incorrecte
#From:KR90,H-Node, this indicates a Hybrid-State of operation. First WINS servers are tried, if any, followed by local network broadcast. This is generally the preferred mode if you have configured WINS servers.
KR90,H-Node  indique un état de fonctionnement hybride. Les éventuels serveurs WINS sont testés, puis la diffusion est effectuée sur le réseau local. Il s'agit généralement du mode privilégié si vous disposez de serveurs WINS configurés.
#From:help838,Note that WCN only saves a few of the wireless security settings. When you use WCN to propagate settings to other wireless devices, you may have to make additional settings manually on those devices.
help838,Remarque : WCN enregistre uniquement quelques-uns des paramètres de sécurité sans fil. Lorsque vous utilisez WCN pour propager les paramètres vers d'autres périphériques sans fil, vous pouvez avoir à définir d'autres paramètres manuellement sur ces périphériques.
#From:at.ETS,Enable Traffic Shaping
at.ETS,Activer la mise en forme du trafic
#From:KR73,If WAN Port Mode is set to "Bridge Mode", the following choices are displayed in place of the above choices, because the device is functioning as a bridge in a network that contains another router.
KR73,Si le port WAN est en mode pont, les options suivantes sont affichées à la place des options ci-dessus car le périphérique fonctionne en tant que pont dans un réseau qui contient un autre routeur.
#From:wwl.intro.s3.2,There are several levels of wireless security. The level you choose depends on the security features your wireless adapters support.
wwl.intro.s3.2,Il existe plusieurs niveaux de sécurité sans fil. Le niveau sélectionné dépend des fonctions de sécurité prises en charge par vos adaptateurs sans fil.
#From:.r.alert5,Invalid Metric for route
.r.alert5,Mesure incorrecte pour la route
#From:GW_NAT_WAN_PING_FILTER_WARNING,<warn>The WAN Ping filter name %s no longer exists, WAN PING will be disabled.</warn>
GW_NAT_WAN_PING_FILTER_WARNING,<warn>Le nom de filtre Ping WAN %s n'existe plus. Le PING WAN va être désactivé.</warn>
#From:GW_WAN_WAN_PING_FILTER_WARNING,<warn>The WAN Ping filter name %s no longer exists, WAN PING will be disabled.</warn>
GW_WAN_WAN_PING_FILTER_WARNING,<warn>Le nom de filtre Ping WAN %s n'existe plus. Le PING WAN va être désactivé.</warn>
#From:YM53,Invalid local end IP Address.
YM53,La valeur de fin est incorrecte pour l'adresse IP locale.
#From:help215,Note that WCN only sets a few of the wireless options. You will still need to go to the <a href="../Basic/Wireless.shtml">Wireless Settings</a> page to set other wireless options such as Super G Mode and transmission rate.
help215,Remarque : WCN définit uniquement quelques-unes des options sans fil. Vous devez accéder à la page des <a href="../Basic/Wireless.shtml">paramètres sans fil</a> pour définir d'autres options sans fil telles que le mode Super G et le débit de transmission.
#From:YM140,WISH is short for Wireless Intelligent Stream Handling, a technology developed to enhance your experience of using a wireless network by prioritizing the traffic of different applications.
YM140,WISH est l'abréviation de Wireless Intelligent Stream Handling, une technologie développée pour améliorer l'utilisation d'un réseau sans fil à l'aide de priorités définies pour le trafic des différentes applications.
#From:GW_DHCPSERVER_REJECTED,The DHCP server address %v was rejected by the network device. If you have more than one DHCP server on your network this may cause IP address conflicts.
GW_DHCPSERVER_REJECTED,Le périphérique réseau a rejeté l'adresse du serveur DHCP %v. La présence de plusieurs serveurs DHCP sur un réseau peut provoquer des conflits d'adresse IP.
#From:YM142,Allows the router to recognize HTTP transfers for many common audio and video streams and prioritize them above other traffic. Such streams are frequently used by digital media players.
YM142,Autorise le router à reconnaître les transferts HTTP pour un grand nombre des flux audio et vidéo courants et définit des priorités pour ces flux au-dessus des autres trafics. En général, les lecteurs multimédias numériques utilisent ces flux.
#From:GW_DYNDNS_PASSWORD_INVALID,password must be specified
GW_DYNDNS_PASSWORD_INVALID,(mot de passe à indiquer)
#From:YM152,The rule applies to a flow of messages for which one computer's IP address falls within the range set here.
YM152,La règle s'applique à un flux de messages pour lequel l'adresse IP d'un ordinateur figure dans la plage définie ici.
#From:LT119a,Invalid DHCP Server End IP Range
LT119a,Valeur de fin incorrecte pour la plage d'adresses IP du serveur DHCP
#From:LW36,If you are having trouble accessing the Internet through the router, double check any settings you have entered on this page and verify them with your ISP if needed.
LW36,Si vous rencontrez des difficultés pour accéder à Internet via le routeur, revérifiez les paramètres définis sur cette page et, si nécessaire, contactez votre FAI.
#From:help377,The encryption algorithm used to secure the data communication. TKIP (Temporal Key Integrity Protocol) provides per-packet key generation and is based on WEP. AES (Advanced Encryption Standard) is a very secure block based encryption. With the "TKIP and AES" option, the router negotiates the cipher type with the client, and uses AES when available.
help377,Algorithme de chiffrement utilisé pour sécuriser la communication des données. Le protocole TKIP (Temporal Key Integrity Protocol) fournit une méthode de génération de clés par paquet, basée sur le protocole WEP. La fonction AES (Advanced Encryption Standard) est une méthode de chiffrement hautement sécurisée qui utilise des blocs. Avec TKIP et AES, le routeur négocie le type de chiffrement avec le client et utilise AES en cas de disponibilité.
#From:GW_NAT_PORT_TRIGGER_PORT_RANGE_INVALID,%s '%s' is invalid.
GW_NAT_PORT_TRIGGER_PORT_RANGE_INVALID,%s %s est incorrect(e).
#From:YM121,Invalid WEP Keys
YM121,Clés WEP incorrectes
#From:YM29,Invalid Fragmentation Threshold
YM29,Seuil de fragmentation incorrect
#From:YM159,The WISH Sessions page displays full details of active local wireless sessions through your router when WISH has been enabled. A WISH session is a conversation between a program or application on a wirelessly connected LAN-side computer and another computer, however connected.
YM159,La page de sessions WISH affiche tous les détails des sessions sans fil locales actives via le routeur (en cas d'activation de WISH). Une session WISH est une communication entre un programme ou une application sur un ordinateur à connexion sans fil côté LAN et un autre ordinateur quel que soit son mode de connexion.
#From:YM120,Invalid Port Number.
YM120,Numéro de port incorrect.
#From:wwl.BETTER,BETTER
wwl.BETTER,SUPÉRIEUR
#From:LW55,Enable the Wi-Fi Protected Setup feature.
LW55,Activez la fonction Wi-Fi Protected Setup.
#From:YM106,Invalid PPPoE subnet mask
YM106,Masque de sous-réseau PPPoE incorrect
#From:.aa.bsecure.block.unrated,Block Unrated Sites
.aa.bsecure.block.unrated,Bloquer les sites non classés
#From:GW_WAN_BIGPOND_USERNAME_INVALID,A Big Pond user name MUST be specified
GW_WAN_BIGPOND_USERNAME_INVALID,Nom d'utilisateur Big Pond À indiquer
#From:KR76,For example, 192.168.0.101.
KR76,Par exemple, 192.168.0.101.
#From:GW_DHCPSERVER_EXHAUSTED,The DHCP server can offer no more IP addresses because all available addresses are in use. Increase the number of available IP addresses on the DHCP server configuration.
GW_DHCPSERVER_EXHAUSTED,Le serveur DHCP ne peut pas offrir davantage d'adresses car toutes les adresses disponibles sont utilisées. Augmentez le nombre d'adresses IP disponibles dans la configuration du serveur DHCP.
#From:GW_WAN_L2TP_SERVER_IP_ADDRESS_INVALID,Invalid L2TP server IP address: %v
GW_WAN_L2TP_SERVER_IP_ADDRESS_INVALID,Adresse IP du serveur L2TP incorrecte : %v
#From:wwl.alert.pv5.2,WEP password must be exactly 13 alphanumeric characters.
wwl.alert.pv5.2,Le mot de passe WEP doit être de 13 caractères alphanumériques exactement.
#From:wwl.alert.pv5.2_5,WEP password must be exactly 5 alphanumeric characters.
wwl.alert.pv5.2_5,Le mot de passe WEP doit être de 5 caractères alphanumériques exactement.
#From:GW_ROUTES_SUBNET_INVALID,Route subnet %v is invalid
GW_ROUTES_SUBNET_INVALID,Sous-réseau d'acheminement %v incorrect
#From:.aa.bsecure.drugs,Drugs
.aa.bsecure.drugs,Médicaments
#From:LW1,IP address cannot be the same as LAN IP address of the router.
LW1,L'adresse IP ne peut pas être la même que l'adresse IP LAN du routeur.
#From:GW_DHCPSERVER_EXPIRED,A network computer never renewed its 'lease' of %v and has lost its right to use that address. If the device continues to use that address it may cause IP address conflicts.
GW_DHCPSERVER_EXPIRED,Un ordinateur du réseau n'a jamais renouvelé son attribution de %v et a perdu ses droits à utiliser cette adresse. Si le périphérique continue à utiliser cette adresse, il risque de provoquer des conflits d'adresse IP.
#From:GW_INET_ACL_IP_ADDRESS_IN_LAN_SUBNET_INVALID,IP address %v should be within LAN subnet (%v).
GW_INET_ACL_IP_ADDRESS_IN_LAN_SUBNET_INVALID,L'adresse IP %v doit figurer dans le sous-réseau LAN (%v).
#From:bd.NETBIOS_REG_TYPE_B,Broadcast only (use when no WINS servers configured)
bd.NETBIOS_REG_TYPE_B,Diffusion uniquement (à utiliser si aucun serveur WINS n'est configuré)
#From:.aa.bsecure.financial,Financial
.aa.bsecure.financial,Finances
#From:YM135,The NAT forwards incoming connection requests to a LAN-side host only when they come from the same IP address with which a connection was established. This allows the remote application to send data back through a port different from the one used when the outgoing session was created.
YM135,La NAT transmet les demandes de connexions entrantes à un hôte côté LAN uniquement lorsque ces demandes viennent de l'adresse IP avec laquelle une connexion a été établie. Ainsi, l'application distante peut renvoyer les données via un port différent de celui utilisé lorsque la session sortante a été créée.
#From:LT119,Invalid DHCP Server Start IP Range
LT119,Valeur de début incorrecte pour la plage d'adresses IP du serveur DHCP
#From:.vs.public,Public
.vs.public,Public
#From:KR93,B-Node, this indicates to use local network broadcast ONLY. This setting is useful where there are no WINS servers available, however, it is preferred you try M-Node operation first.
KR93,B-Node  indique que SEULE la diffusion sur le réseau local est à utiliser. Ce paramètre est utile si aucun serveur WINS n'est disponible. Cependant, il est préférable d'essayer l'opération M-Node au préalable.
#From:GW_SECURE_REMOTE_ADMINSTRATION,Gateway remote administration enabled on port: %u
GW_SECURE_REMOTE_ADMINSTRATION,Administration à distance de passerelle activée sur le port : %u
#From:.aa.bsecure.employment,Employment
.aa.bsecure.employment,Emploi
#From:YM160,The IP address and, where appropriate, port number of the computer that originated a network connection.
YM160,Adresse IP et, le cas échéant, numéro de port de l'ordinateur qui a émis une connexion réseau.
#From:LS423,Assigned IP
LS423,Adresse IP assignée
#From:GW_WAN_L2TP_GATEWAY_IN_SUBNET_INVALID,L2TP Gateway IP address %v must be within the WAN subnet.
GW_WAN_L2TP_GATEWAY_IN_SUBNET_INVALID,L'adresse IP de passerelle L2TP %v doit figurer dans le sous-réseau WAN.
#From:GW_WISH_RULES_HOST1_IP,'%s': Host 1 IP start, %v, must be less than host 1 IP end, %v
GW_WISH_RULES_HOST1_IP,%s : pour l'adresse IP de l'hôte 1, la valeur de début (%v) doit être inférieure à la valeur de fin (%v)
#From:.vs.private,Private
.vs.private,Privé
#From:KR86,This setting has no effect if the 'Learn NetBIOS information from WAN' is activated.
KR86,Ce paramètre n'a pas d'effet si l'option d'apprentissage des informations NetBIOS du WAN est activée.
#From:bd.NETBIOS_SEC_WINS,Secondary WINS IP Address
bd.NETBIOS_SEC_WINS,Adresse IP de serveur WINS secondaire
#From:GW_INET_ACL_START_IP_ADDRESS_INVALID,Start IP address must be less than end IP address: %v-%v.
GW_INET_ACL_START_IP_ADDRESS_INVALID,pour l'adresse IP, la valeur de début doit être inférieure à celle de fin : %v-%v.
#From:auth,Authentication
auth,Authentification
#From:KR24,Can not stop the process
KR24,Impossible d'arrêter le processus
#From:KR17,5GHz
KR17,5 GHz
#From:YM84,Host 2 IP Range
YM84,Plage d'adresses IP de l'hôte 2
#From:help88,A QoS Engine Rule identifies a specific message flow and assigns a priority to that flow.
help88,Une règle du moteur QoS identifie un flux de message spécifique et lui assigne une priorité.
#From:LW50,Enabling this option (the default setting) enables single VPN connections to a remote host. (But, for multiple VPN connections, the appropriate VPN ALG must be used.) Disabling this option, however, only disables VPN if the appropriate VPN ALG is also disabled.
LW50,L'activation de cette option (paramétrage par défaut) permet celle des connexions VPN uniques à un hôte distant. (Toutefois, pour plusieurs connexions VPN, la passerelle VPN ALG appropriée doit être utilisée.) La désactivation de cette option permet uniquement celle du VPN si la passerelle VPN ALG appropriée est également désactivée.
#From:YM103,Invalid PPPoE IP address
YM103,Adresse IP PPPoE incorrecte
#From:KR64,In bridge mode, the device still supports several features not available in ordinary bridges -- features that involve the WAN side of the upstream router.
KR64,En mode pont, le périphérique prend en charge plusieurs fonctions non disponibles sur les ponts ordinaires -- fonctions qui impliquent le côté WAN du routeur en amont.
#From:help361,Performance enhancing features such as Packet Bursting, FastFrames, and Compression.
help361,Fonctions d'optimisation des performances telles que l'envoi de paquets en rafales, FastFrames et la compression.
#From:LW4,Wi-Fi Protected Setup
LW4,Wi-Fi Protected Setup
#From:KR38,PIN
KR38,Code PIN
#From:GW_WLAN_11A_STATIC_TURBO_INVALID,For 11a Static Turbo mode, channel should be set to one of 42,50,58,152, or 160.
GW_WLAN_11A_STATIC_TURBO_INVALID,En mode turbo 11a statique, le canal doit être défini sur l'une des valeurs suivantes : 42, 50, 58, 152 ou 160.
#From:help358,Super G" Mode
help358,Mode Super G"
#From:YM6,You do not have permissions to perform the specified action.
YM6,Vous n'avez pas les droits nécessaires pour exécuter l'action spécifiée.
#From:.aa.bsecure.categ.select,Categories Selection
.aa.bsecure.categ.select,Sélection de catégories
#From:YM58,Priority must be a number between 1 and 255 inclusive.
YM58,La priorité doit être un nombre compris entre 1 et 255 (inclus).
#From:.aa.bsecure.age.youth,Youth (13-17)
.aa.bsecure.age.youth,Jeunesse (13-17)
#From:LW17,Click <strong>Add Wireless Device Wizard</strong> to use Wi-Fi Protected Setup to add wireless devices to the wireless network.
LW17,Cliquez sur l'<strong>assistant d'ajout de périphériques sans fil</strong> au réseau correspondant pour utiliser Wi-Fi Protected Setup à cette fin.
#From:YM18,Invalid Destination IP End address for Port Filter
YM18,Valeur de fin de l'adresse IP cible incorrecte pour le filtre de port
#From:LT210,WPA2-PSK/AES (also known as WPA2 Personal)
LT210,WPA2-PSK/AES (ou WPA2 Personal)
#From:GW_WAN_IDLE_TIME_INVALID,Invalid Idle Time (the permitted range is %u to %u)
GW_WAN_IDLE_TIME_INVALID,Temps d'inactivité incorrect (plage autorisée : %u-%u)
#From:YM186,Multicast Group Address
YM186,Adresse de groupe multidiffusion
#From:.aa.bsecure.sports,Sports
.aa.bsecure.sports,Sports
#From:GW_QOS_RULES_NAME_ALREADY_USED,Name '%s' is already used.
GW_QOS_RULES_NAME_ALREADY_USED,Le nom %s est déjà utilisé.
#From:bwz.intro.WCNWz,The following wizard uses Microsoft's Windows Connect Now technology to automatically configure the wireless settings on your Router. Make sure that you have sucessfully run Microsoft's Network Wireless Configuarion Wizard on your computer before using this feature.
bwz.intro.WCNWz,L'assistant suivant utilise la technologie Windows Connect Now de Microsoft pour configurer automatiquement les paramètres de votre routeur. Vérifiez l'exécution correcte de l'assistant Réseau sans fil de Microsoft sur votre ordinateur avant d'utiliser cette fonction.
#From:GW_DHCP_SERVER_POOL_TO_IN_SUBNET_INVALID,DHCP server pool TO %v is not in LAN subnet %v.
GW_DHCP_SERVER_POOL_TO_IN_SUBNET_INVALID,Le groupe de serveurs DHCP DESTINÉ À %v ne figure pas dans le sous-réseau LAN %v.
#From:GW_NAT_H323_ALG_ACTIVATED_WARNING,<warn>The H.323 has been automatically enabled because a virtual server entry you created requires it.</warn>
GW_NAT_H323_ALG_ACTIVATED_WARNING,<warn>Le protocole H.323 a été automatiquement activé car une entrée de serveur virtuel créée le nécessite.</warn>
#From:LT120y,Invalid Primary WINS IP
LT120y,Principale adresse IP de serveur WINS incorrecte
#From:KR103,The Wi-Fi Protected Setup Network Settings have been saved successfully.
KR103,Les paramètres réseau Wi-Fi Protected Setup ont été enregistrés.
#From:YM44,Calista IP phone
YM44,Téléphone IP Calista
#From:LW47,If you consider yourself an advanced user and have configured a wireless router before, click <strong>Manual Wireless Network Setup</strong> to input all the settings manually.
LW47,Si vous êtes un utilisateur avancé et si vous avez déjà configuré un routeur sans fil, cliquez sur l'option de <strong>configuration réseau sans fil manuelle</strong> pour entrer tous les paramètres.
#From:GW_XML_CONFIG_GET_FAILED,Failed to export configuration file #%u
GW_XML_CONFIG_GET_FAILED,Échec de l'exportation du fichier de configuration #%u
#From:WIFISC_AP_SET_APSETTINGS_COMPLETE,SetAPSettings by (%s) complete
WIFISC_AP_SET_APSETTINGS_COMPLETE,Définition des paramètres de point d'accès terminée (%s)
#From:wwl.WKL,Wep Key Length
wwl.WKL,Longueur de la clé WEP
#From:YM168,Communication with the router failed
YM168,Échec de la communication avec le routeur
#From:GW_NAT_NAME_USED_INVALID,Name '%s' is already used.
GW_NAT_NAME_USED_INVALID,Le nom %s est déjà utilisé.
#From:GW_DYNDNS_SERVER_INDEX_VALUE_INVALID,invalid server index value: %d
GW_DYNDNS_SERVER_INDEX_VALUE_INVALID,(valeur d'index de serveur incorrecte : %d)
#From:WARN,[WARN]
WARN,[AVERTISSEMENT]
#From:LW23,Enterprise
LW23,Grandes entreprises
#From:ADVANCED_NETWORK,Advanced Network
ADVANCED_NETWORK,Réseau avancé
#From:GW_WAN_PPTP_PASSWORD_INVALID,A PPTP password MUST be specified
GW_WAN_PPTP_PASSWORD_INVALID,Mot de passe PPTP À indiquer
#From:LW59,Restore the default PIN of the router.
LW59,Restaurez le code PIN par défaut du routeur.
#From:YM126,If you have enabled Wireless Security, make sure you write down the Key or Passphrase that you have configured. You will need to enter this information on any wireless device that you connect to your wireless network.
YM126,Si vous avez activé la sécurité sans fil, notez soigneusement la clé ou la phrase secrète configurée. En effet, il sera nécessaire dentrer ces informations sur chaque périphérique sans fil à connecter à votre réseau sans fil.
#From:LW66,Enabled/Configured
LW66,Activé/Configuré
#From:.r.alert4,Invalid Interface for route
.r.alert4,Interface incorrecte pour l'acheminement
#From:LY10,Add Wireless Station
LY10,Ajouter une station sans fil
#From:GW_DHCP_SERVER_POOL_FROM_INVALID,The DHCP server start address %v is not valid in the LAN subnet %v.
GW_DHCP_SERVER_POOL_FROM_INVALID,Pour l'adresse du serveur DHCP, la valeur de début (%v) est incorrecte pour le sous-réseau LAN (%v).
#From:WIFISC_AP_SETUP_LOCKED,Lock AP setup
WIFISC_AP_SETUP_LOCKED,Verrouiller la configuration du point d'accès
#From:YM91,Do you want to abandon changes you made to the current entry?
YM91,Souhaitez-vous abandonner les modifications apportées à l'entrée en cours ?
#From:WIFISC_AP_SET_SELECTED_REGISTRAR_FAIL,Set Selected Registrar failed, reason (%s), err_code (%u)
WIFISC_AP_SET_SELECTED_REGISTRAR_FAIL,Échec de l'activation du registre sélectionné. Raison : %s (code_err %u).
#From:LS3,Nothing has changed, save anyway?
LS3,Aucune modification n'a été apportée. Procéder quand même à l'enregistrement ?
#From:GW_NAT_UNKNOWN,Unknown
GW_NAT_UNKNOWN,Inconnu
#From:GW_WLAN_11A_DYNAMIC_TURBO_INVALID,For 11a Dynamic Turbo mode, channel should be set to one of 40,48,56,153, or 161.
GW_WLAN_11A_DYNAMIC_TURBO_INVALID,En mode turbo dynamique 11a, le canal doit être défini sur l'une des valeurs suivantes : 40, 48, 56, 153 ou 161.
#From:YM163,Note that, even when NTP Server is enabled, you must still choose a time zone and set the daylight saving parameters.
YM163,Remarque : même si un serveur NTP est activé, vous devez malgré tout choisir un fuseau horaire et définir les paramètres de l'heure d'été.
#From:YM181,To use this feature, you must first have a Dynamic DNS account from one of the providers in the drop down menu.
YM181,Pour utiliser cette fonction, vous devez disposer d'un compte DNS dynamique auprès de lun des fournisseurs du menu déroulant.
#From:.cantapplysettings.1,Insufficient Permission
.cantapplysettings.1,Droits insuffisants
#From:YM11,Warnings:
YM11,Avertissements :
#From:wwl.wsp.chars.2,(8 to 64 characters)
wwl.wsp.chars.2,(8 à 64 caractères)
#From:bd.NETBIOS_PRI_WINS,Primary WINS IP Address
bd.NETBIOS_PRI_WINS,Principale adresse IP de serveur WINS
#From:wwl.DWKL,Default WEP Key to Use
wwl.DWKL,Clé WEP par défaut à utiliser
#From:KR44,Wireless Device PIN
KR44,Code PIN de périphérique sans fil
#From:.aa.bsecure.obscene,Obscene
.aa.bsecure.obscene,Obscène
#From:YM130,Invalid Server IP Address
YM130,Adresse IP de serveur incorrecte
#From:KR99,Select Dynamic DNS Server
KR99,Sélectionner le serveur DNS dynamique
#From:GW_DHCP_SERVER_PRIMARY_AND_SECONDARY_WINS_IP_INVALID,Primary WINS IP address must be specified if secondary is also specified.
GW_DHCP_SERVER_PRIMARY_AND_SECONDARY_WINS_IP_INVALID,La principale adresse IP de serveur WINS doit être indiquée si une adresse secondaire est indiquée.
#From:GW_FIREWALL_NO_IP_RANGE_INVALID,Enable at least one Source IP Range for '%s'
GW_FIREWALL_NO_IP_RANGE_INVALID,Activer au moins une plage d'adresses IP source pour %s
#From:GW_NAT_VS_PROTOCOL_INVALID,Virtual server '%s' protocol number, %d, must be 0 or between 3 and 255.
GW_NAT_VS_PROTOCOL_INVALID,Le numéro de protocole du serveur virtuel %s, %d, doit être défini sur 0 ou compris entre 3 et 255.
#From:KR52,Select this option if you want to setup your network manually
KR52,Sélectionnez cette option pour configurer votre réseau manuellement
#From:KR33,Welcome to the Add Wireless Device Wizard
KR33,Bienvenue dans l'assistant d'ajout de périphériques sans fil
#From:ZM23,You must be logged in as 'admin' to perform this action.
ZM23,Vous devez être connecté en tant qu'admin. pour exécuter cette action.
#From:LW40,This wizard is designed to assist you in connecting your wireless device to your router. It will guide you through step-by-step instructions on how to get your wireless device connected. Click the button below to begin.
LW40,Cet assistant va vous aider à connecter votre périphérique sans fil à votre routeur. Il vous guidera progressivement tout au long du processus de connexion de votre périphérique sans fil. Pour commencer, cliquez sur le bouton ci-dessous.
#From:LY4,Lock Wireless Security Settings
LY4,Verrouiller les paramètres de sécurité sans fil
#From:LW34,If you consider yourself an advanced user and have configured a router before, click <strong>Manual Internet Connection Setup</strong> to input all the settings manually.
LW34,Si vous êtes un utilisateur avancé et si vous avez déjà configuré un routeur, cliquez sur l'option de <strong>configuration de connexion Internet manuelle</strong> pour entrer tous les paramètres.
#From:YM25,Are you sure you want to delete
YM25,Souhaitez-vous vraiment supprimer
#From:YM15,Invalid Destination IP Start address for Port Filter
YM15,Valeur de début de l'adresse IP cible incorrecte pour le filtre de port
#From:bwl.SGM,Super&nbsp;G&trade;&nbsp;Mode
bwl.SGM,Super G &trade; partie mode
#From:GW_WLAN_80211X_RADIUS_INVALID,Radius server address is not valid.
GW_WLAN_80211X_RADIUS_INVALID,L'adresse du serveur Radius est incorrecte.
#From:GW_WISH_RULES_PROTOCOL,'%s': Protocol, %u, needs to be between 0 and 257
GW_WISH_RULES_PROTOCOL,%s : le protocole, %u, doit être compris entre 0 et 257
#From:LS316,Login
LS316,Connexion
#From:ZM15,User has logged out
ZM15,Utilisateur déconnecté
#From:GW_DHCP_SERVER_RESERVATION_DISABLED_IN_CONFLICT_WARNING,<warn>A DHCP Reservation has been disabled because it conflicts with the routers own LAN IP.</warn>
GW_DHCP_SERVER_RESERVATION_DISABLED_IN_CONFLICT_WARNING,<warn>Une réservation DHCP est désactivée car elle est en conflit avec l'adresse IP LAN des routeurs.</warn>
#From:GW_DYNDNS_HOST_NAME_INVALID,host must be specified
GW_DYNDNS_HOST_NAME_INVALID,(hôte à indiquer)
#From:LW42,Manual Wireless Network Setup
LW42,Configuration du réseau sans fil manuelle
#From:GW_WAN_PPTP_GATEWAY_IP_ADDRESS_INVALID,Invalid PPTP gateway IP address: %v
GW_WAN_PPTP_GATEWAY_IP_ADDRESS_INVALID,L'adresse IP de la passerelle PPTP est incorrecte : %v
#From:rs.intro.4,The restored configuration file has been uploaded successfully.
rs.intro.4,Le fichier de configuration restauré est téléchargé vers le serveur.
#From:GW_QOS_RULES_REMOTE_IP_END_SUBNET,'%s': Remote IP end '%v' is in the LAN subnet
GW_QOS_RULES_REMOTE_IP_END_SUBNET,%s : pour l'adresse IP distante, la valeur de fin %v figure dans le sous-réseau LAN
#From:.NA,N/A
.NA,S/O
#From:hhav.r_gateway,The gateway IP address is the IP address of the router, if any, used to reach the specified destination.
hhav.r_gateway,L'adresse IP de la passerelle est, le cas échéant, l'adresse IP du routeur utilisée pour atteindre la cible indiquée.
#From:INFO,[INFO]
INFO,[INFO]
#From:help112,Metric:
help112,Mesure :
#From:tf.msg.FWUgReset,Some firmware upgrades reset the configuration options to the factory defaults. Before performing an upgrade, be sure to save the current configuration from the <a href="../Tools/System.shtml" onclick="return jump_if();"> Tools &rarr; System</a> screen.
tf.msg.FWUgReset,Certaines mises à niveau de firmware ramènent les options de configuration aux paramètres par défaut. Avant d'exécuter une mise à niveau, veillez à enregistrer la configuration actuelle de la page des <a href="../Tools/System.shtml" onclick="return jump_if();">outils &rarr; partie système</a>.
#From:bd.NETBIOS_WAN,Learn NetBIOS information from WAN
bd.NETBIOS_WAN,Apprendre les informations NetBIOS du WAN
#From:aw.igslot,Force Short Slot for 11N Clients
aw.igslot,Forcer l'intervalle court pour les clients 11N
#From:ZM2,(default if not matched by anything else)
ZM2,(valeur par défaut en l'absence de concordance)
#From:LT7,You do not have permission to perform the specified action.
LT7,Vous n'avez pas les droits nécessaires pour exécuter l'action indiquée.
#From:WIFISC_AP_SET_SELECTED_REGISTRAR,Set Selected Registrar
WIFISC_AP_SET_SELECTED_REGISTRAR,Activer le registre sélectionné
#From:help214,When the necessary preparations are complete, the WCN technology will propagate the wireless network settings from your PC to the router. Then you will have to reboot the router for the settings to take effect.
help214,Lorsque les préparations nécessaires sont terminées, la technologie WCN propage les paramètres de réseau sans fil du PC vers le routeur. Ensuite, vous devez réinitialiser le routeur pour que les paramètres soient pris en compte.
#From:at.Both,Both
at.Both,Les deux
#From:ZM22,Day of Week
ZM22,Jour de la semaine
#From:help.ts.rfd,Restore To Factory Default Settings
help.ts.rfd,Restaurer les paramètres par défaut
#From:LW44,If you would like to configure the wireless settings of your new D-Link Systems Router manually, then click on the Manual Wireless Network Setup button below.
LW44,Pour configurer manuellement les paramètres sans fil du routeur D-Link, cliquez sur le bouton ci-dessous.
#From:help209,If your PC's operating system is Windows XP Service Pack 2 (SP2) or later and you are using Windows Internet Explorer (IE) as your browser, you can use Windows Connect Now (WCN) technology to help configure the router's wireless security settings.
help209,Si vous disposez de Windows XP SP2 minimum et d'Internet Explorer, vous pouvez utiliser la technologie Windows Connect Now (WCN) pour configurer les paramètres de sécurité sans fil du routeur.
#From:YM70,destination starting port should be between 0 and 65535 inclusive.
YM70,pour le port cible, la valeur de début doit être comprise entre 0 et 65535 (inclus).
#From:GW_UPNP_IGD_PORTMAP_VS_CHANGE,UPnP changed VS entry %v <-> %v:%d <-> %v:%d %s to %s
GW_UPNP_IGD_PORTMAP_VS_CHANGE,UPnP a changé l'entrée VS %v <-> %v:%d <-> %v:%d %s en %s
#From:help143s,The Web Filter section is one of two means by which you can specify the web sites you want to allow. You also have the alternative of using the Sentinel Parental Controls Service, which allows you to specify broad categories of web sites and saves you the trouble of entering specific web site URLs. For more information about the Sentinel service, refer to <a href="../Tools/Sentinel.shtml">Tools &rarr; Sentinel</a>.
help143s,La partie filtre Web est l'une des deux méthodes destinées à indiquer les sites Web à autoriser. Vous pouvez également utiliser le service de contrôle parental Sentinel pour indiquer de grandes catégories de sites Web et éviter d'entrer chacune des URL des sites Web autorisés. Pour davantage d'informations sur le service Sentinel, reportez vous aux <a href="../Tools/Sentinel.shtml">outils &rarr; partie Sentinel</a>.
#From:help363,This mode is not backwards compatible with non-Turbo (legacy) devices. This mode should only be enabled when all devices on the wireless network are Static Turbo enabled.
help363,Ce mode n'est pas rétrocompatible avec les périphériques non turbo (hérités). Il doit uniquement être activé lorsque tous les périphériques du réseau sans fil sont de type turbo statique.
#From:.aa.bsecure.web_newsgroup,Web Newsgroup
.aa.bsecure.web_newsgroup,Forum Web
